playlist,track,duration,track_index
0,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,3.78105,0
123,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,3.78105,0
218,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,3.78105,0
342,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,3.78105,0
382,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,3.78105,0
844,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,3.78105,0
0,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,3.3133333333333335,1
123,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,3.3133333333333335,1
355,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,3.3133333333333335,1
635,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,3.3133333333333335,1
717,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,3.3133333333333335,1
782,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,3.3133333333333335,1
815,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,3.3133333333333335,1
844,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,3.3133333333333335,1
0,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
50,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
123,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
161,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
180,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
205,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
284,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
314,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
355,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
359,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
367,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
380,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
416,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
499,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
516,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
572,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
747,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
779,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
782,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
808,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
815,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
825,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
839,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
844,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
920,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,3.9322166666666667,2
0,spotify:track:1AWQoqb9bSvzTjaLralEkT,4.454433333333333,3
38,spotify:track:1AWQoqb9bSvzTjaLralEkT,4.454433333333333,3
161,spotify:track:1AWQoqb9bSvzTjaLralEkT,4.454433333333333,3
211,spotify:track:1AWQoqb9bSvzTjaLralEkT,4.454433333333333,3
355,spotify:track:1AWQoqb9bSvzTjaLralEkT,4.454433333333333,3
416,spotify:track:1AWQoqb9bSvzTjaLralEkT,4.454433333333333,3
594,spotify:track:1AWQoqb9bSvzTjaLralEkT,4.454433333333333,3
815,spotify:track:1AWQoqb9bSvzTjaLralEkT,4.454433333333333,3
904,spotify:track:1AWQoqb9bSvzTjaLralEkT,4.454433333333333,3
0,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
105,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
121,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
123,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
237,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
355,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
403,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
427,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
452,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
471,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
575,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
643,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
656,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
668,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
697,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
721,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
734,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
736,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
848,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
913,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
980,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
990,spotify:track:1lzr43nnXAijIGYnCT8M8H,3.7933333333333334,4
0,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
5,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
38,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
53,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
106,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
123,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
150,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
161,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
207,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
211,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
218,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
342,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
355,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
380,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
403,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
426,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
439,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
516,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
572,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
642,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
661,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
663,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
687,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
701,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
721,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
734,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
747,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
782,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
788,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
825,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
913,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
942,spotify:track:0XUfyU2QviPAs6bxSpXYG4,4.172883333333333,5
0,spotify:track:68vgtRHr7iZHpzGpon6Jlo,3.724,6
405,spotify:track:68vgtRHr7iZHpzGpon6Jlo,3.724,6
517,spotify:track:68vgtRHr7iZHpzGpon6Jlo,3.724,6
